epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.554,1.43801,1.61665,1.27267,0.85825,0.70373,0.7862,0.47695,1.29956,0.94601,1.12755,0.00332935,0.00332935,0.00332935
2,210.539,1.33845,1.04244,1.14634,0.86115,0.7094,0.7929,0.48964,1.29699,0.87568,1.13132,0.00653076,0.00653076,0.00653076
3,303.218,1.35863,0.99125,1.16442,0.86635,0.68492,0.76937,0.47786,1.33036,0.85919,1.15598,0.00960018,0.00960018,0.00960018
4,399.141,1.37238,0.97261,1.17594,0.88912,0.68308,0.77897,0.48293,1.3069,0.82004,1.14298,0.009406,0.009406,0.009406
5,490.483,1.33547,0.90914,1.16028,0.88409,0.72207,0.80734,0.5153,1.27396,0.74702,1.12497,0.009208,0.009208,0.009208
6,581.338,1.3237,0.88327,1.15268,0.8856,0.73415,0.8176,0.5221,1.25757,0.74764,1.1295,0.00901,0.00901,0.00901
7,678.781,1.2934,0.84062,1.14048,0.88574,0.74328,0.82561,0.53033,1.25245,0.70166,1.12001,0.008812,0.008812,0.008812
8,775.192,1.28689,0.82106,1.13214,0.88732,0.73554,0.82344,0.5305,1.23954,0.69922,1.10805,0.008614,0.008614,0.008614
9,868.708,1.27599,0.80519,1.12593,0.88117,0.76325,0.83862,0.54013,1.23055,0.66486,1.1081,0.008416,0.008416,0.008416
10,961.887,1.26512,0.78416,1.12017,0.88424,0.77367,0.84605,0.54829,1.21463,0.65093,1.09742,0.008218,0.008218,0.008218
11,1053.87,1.25473,0.77708,1.11768,0.89424,0.76522,0.8485,0.55463,1.20194,0.63835,1.08471,0.00802,0.00802,0.00802
12,1147.96,1.24346,0.76372,1.11213,0.89072,0.77318,0.8494,0.55214,1.20909,0.63532,1.08935,0.007822,0.007822,0.007822
13,1240.3,1.2447,0.75836,1.1132,0.89312,0.77425,0.85231,0.55736,1.1968,0.6287,1.08344,0.007624,0.007624,0.007624
14,1333.65,1.23886,0.7527,1.10832,0.89341,0.77609,0.85307,0.55804,1.19905,0.61365,1.08836,0.007426,0.007426,0.007426
15,1427.67,1.23836,0.74402,1.10934,0.8958,0.77881,0.85639,0.56194,1.19641,0.61494,1.07851,0.007228,0.007228,0.007228
16,1521.32,1.22936,0.7347,1.1002,0.89193,0.78105,0.85505,0.56041,1.19305,0.61319,1.08033,0.00703,0.00703,0.00703
17,1611.31,1.22346,0.7264,1.09724,0.89821,0.7859,0.86232,0.56795,1.18105,0.59626,1.0698,0.006832,0.006832,0.006832
18,1706.76,1.22383,0.72656,1.09723,0.89513,0.78483,0.86443,0.56976,1.18119,0.58948,1.07465,0.006634,0.006634,0.006634
19,1807.95,1.21446,0.71144,1.08928,0.89337,0.79394,0.86523,0.56917,1.18078,0.58904,1.07316,0.006436,0.006436,0.006436
20,1909.87,1.2117,0.70653,1.09289,0.89498,0.79085,0.86468,0.57077,1.1759,0.5884,1.07074,0.006238,0.006238,0.006238
21,2011.65,1.2101,0.69342,1.09041,0.90649,0.78694,0.8687,0.57212,1.17388,0.58238,1.06685,0.00604,0.00604,0.00604
22,2113.18,1.19847,0.69588,1.08385,0.89011,0.7983,0.86957,0.57419,1.1683,0.57352,1.06384,0.005842,0.005842,0.005842
23,2212.98,1.19691,0.68803,1.08546,0.8984,0.78979,0.86835,0.57488,1.16569,0.5681,1.06655,0.005644,0.005644,0.005644
24,2309.17,1.19373,0.67839,1.08271,0.8946,0.79938,0.87184,0.57803,1.16525,0.56804,1.06566,0.005446,0.005446,0.005446
25,2402.31,1.19865,0.68364,1.08245,0.89011,0.8027,0.87417,0.57726,1.16582,0.56342,1.06385,0.005248,0.005248,0.005248
26,2502.26,1.18796,0.67627,1.08085,0.89503,0.80639,0.8764,0.58139,1.16175,0.55768,1.06076,0.00505,0.00505,0.00505
27,2603.05,1.19323,0.67252,1.0805,0.89943,0.79551,0.87422,0.5808,1.1577,0.55655,1.05936,0.004852,0.004852,0.004852
28,2703.88,1.18126,0.66522,1.07738,0.89038,0.80445,0.87575,0.58133,1.15567,0.55107,1.05602,0.004654,0.004654,0.004654
29,2805.33,1.17728,0.65865,1.07654,0.90214,0.79056,0.87574,0.58349,1.15528,0.5494,1.05724,0.004456,0.004456,0.004456
30,2906.04,1.17618,0.65957,1.0725,0.89351,0.80221,0.87664,0.58289,1.15423,0.54781,1.05897,0.004258,0.004258,0.004258
31,3006.31,1.17063,0.6533,1.07078,0.89073,0.80755,0.8784,0.58361,1.15572,0.54746,1.05508,0.00406,0.00406,0.00406
32,3106.78,1.16997,0.64573,1.06937,0.8917,0.80666,0.87793,0.58351,1.15221,0.54239,1.05269,0.003862,0.003862,0.003862
33,3207.27,1.17215,0.65037,1.07136,0.89052,0.80979,0.88003,0.58563,1.14928,0.53871,1.05343,0.003664,0.003664,0.003664
34,3306.19,1.16536,0.64424,1.06718,0.89815,0.80406,0.87971,0.58547,1.14942,0.53867,1.05042,0.003466,0.003466,0.003466
35,3405.71,1.15549,0.63005,1.06458,0.89385,0.80697,0.88043,0.58602,1.14892,0.53623,1.05366,0.003268,0.003268,0.003268
36,3505.58,1.15902,0.63585,1.06092,0.89833,0.80132,0.879,0.58632,1.14859,0.53347,1.05047,0.00307,0.00307,0.00307
37,3605.73,1.15179,0.6224,1.06291,0.8883,0.81338,0.88135,0.58906,1.14637,0.52896,1.05166,0.002872,0.002872,0.002872
38,3705.88,1.14889,0.62262,1.06056,0.89468,0.80499,0.88166,0.58917,1.14658,0.53085,1.05046,0.002674,0.002674,0.002674
39,3805.78,1.14785,0.61802,1.05811,0.89532,0.80755,0.88224,0.58914,1.14521,0.52923,1.04976,0.002476,0.002476,0.002476
40,3906.13,1.14379,0.61292,1.059,0.89571,0.80814,0.88271,0.58994,1.14257,0.52867,1.04996,0.002278,0.002278,0.002278
41,4027.48,1.13286,0.57445,1.05068,0.891,0.80969,0.88162,0.58816,1.1455,0.53075,1.04844,0.00208,0.00208,0.00208
42,4120.58,1.1282,0.57096,1.04955,0.89126,0.81134,0.88292,0.58854,1.147,0.52868,1.04995,0.001882,0.001882,0.001882
43,4213.45,1.12708,0.56149,1.04698,0.90077,0.80464,0.88362,0.58977,1.14354,0.52666,1.04871,0.001684,0.001684,0.001684
44,4304.31,1.12293,0.55558,1.04496,0.89952,0.80833,0.88194,0.59038,1.14327,0.52689,1.05104,0.001486,0.001486,0.001486
45,4393.54,1.11921,0.55128,1.04665,0.89965,0.80862,0.8823,0.59024,1.14432,0.52847,1.05224,0.001288,0.001288,0.001288
46,4483.78,1.11475,0.54872,1.04333,0.90099,0.80762,0.88227,0.58948,1.14337,0.52887,1.05126,0.00109,0.00109,0.00109
47,4573.74,1.10987,0.54169,1.03953,0.89962,0.80581,0.88106,0.59054,1.14211,0.52828,1.04884,0.000892,0.000892,0.000892
